"Title","URL","RAM","Storage","Price","Rating","Reviews"
"HP - 15.6"" Full HD Laptop - 10th Gen Intel Core i5 - 8GB Memory 256 GB SSD Intel UHD Graphics Model: 15-dw2057cl","https://www.amazon.com/HP-Laptop-Memory-Graphics-15-dw2057cl/dp/B08PS4233X/ref=sr_1_13?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-13","","","","4 ratings","4.7 out of 5 
"
"Dell Inspiron 17 3793 2020 Premium 17.3” FHD Laptop Notebook Computer, 10th Gen 4-Core Intel Core i5-1035G1 1.0 GHz, 16GB RAM, 512GB SSD + 1TB HDD, DVD,Webcam,Bluetooth,Wi-Fi,HDMI, Win 10 Home","https://www.amazon.com/Dell-Inspiron-Notebook-i5-1035G1-Bluetooth/dp/B082MSPDL8/ref=sr_1_9?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-9","","","$800.00","407 ratings","4.4 out of 5 
"
"Lenovo Legion 5 Gaming Laptop, 15.6"" FHD (1920x1080) IPS Screen, AMD Ryzen 7 4800H Processor, 16GB DDR4, 512GB SSD, NVIDIA GTX 1660Ti, Windows 10, 82B1000AUS, Phantom Black","https://www.amazon.com/Lenovo-1920x1080-Processor-Windows-82B1000AUS/dp/B08BB9RWXD/ref=sr_1_5?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-5","","","$1,097.49","874 ratings","4.6 out of 5 
"
"HP Chromebook 14-inch HD Laptop, Intel Celeron N4000, 4 GB RAM, 32 GB eMMC, Chrome (14a-na0020nr, Ceramic White)","https://www.amazon.com/HP-Chromebook-14-Inch-Celeron-14a-na0020nr/dp/B08529BZSQ/ref=sr_1_16?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-16","","","","3,410 ratings","4.5 out of 5 
"
"2021 Dell Inspiron 15 3593 15.6"" HD Touchscreen Laptop Computer, Intel Quad-Core i7-1065G7, 12GB RAM, 512GB PCIe SSD, Intel Iris Plus Graphics, MaxxAudio, HD Webcam, Win 10 S","https://www.amazon.com/Dell-Inspiron-Touchscreen-Quad-Core-i7-1065G7/dp/B08L71B2Z8/ref=sr_1_21?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-21","","","","37 ratings","4.6 out of 5 
"
"Dell Inspiron 17 3793, i3793-5841BLK-PUS, 10th Generation Intel Core i5-1035G1, 17.3-Inch FHD (1920 X 1080), 8GB x 1 DDR4 2666MHz, 1 TB 5400 RPM, Tray Load DVD Drive","https://www.amazon.com/Dell-i3790-5104BLK-PUS-Generation-i5-10210U-17-3-Inch/dp/B07TQ5CQ1H/ref=sr_1_18?dchild=1&keywords=Dell&qid=1616248536&s=pc&sr=1-18","","","","110 ratings","4.4 out of 5 
"
"HP Spectre x360, 9th gen Gemcut 15t ,Touch 4K UHD,i7- i7 9750H Hexacore,NVIDIA GeForce GTX 1650 (4GB),1TB NVMe SSD,16GB RAM,Win 10 Pro Pre-Installed by HP, 64GB Neopack Flash Drive, HP Premium Wty","https://www.amazon.com/HP-Spectre-Hexacore-GeForce-Pre-Installed/dp/B083TCWTYR/ref=sr_1_21?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-21","","","$1,699.95","75 ratings","4.3 out of 5 
"
"Lenovo Flex 14 2-in-1 Convertible Laptop, 14 Inch FHD Touchscreen Display, AMD Ryzen 5 3500U Processor, 12GB DDR4 RAM, 256GB NVMe SSD, Windows 10, 81SS000DUS, Black, Pen Included","https://www.amazon.com/Lenovo-Convertible-Touchscreen-Processor-81SS000DUS/dp/B07TWHYTSQ/ref=sr_1_23?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-23","","","$724.95","3,459 ratings","4.5 out of 5 
"
"Lenovo Flex 5 14"" 2-in-1 Laptop, 14.0"" FHD (1920 x 1080) Touch Display, AMD Ryzen 5 4500U Processor, 16GB DDR4, 256GB SSD, AMD Radeon Graphics, Digital Pen Included, Win 10, 81X20005US, Graphite Grey","https://www.amazon.com/Lenovo-Processor-Graphics-Included-81X20005US/dp/B086226DDB/ref=sr_1_18?dchild=1&keywords=Lenovo&qid=1616248540&s=pc&sr=1-18","","","","3,719 ratings","4.5 out of 5 
"
"HP - Envy x360 2-in-1 15.6"" Touch-Screen Laptop - AMD Ryzen 7 - 8GB Memory - 512GB SSD - Nightfall Black","https://www.amazon.com/HP-2-1-Touch-Screen-Nightfall/dp/B08BJGMFZH/ref=sr_1_10?dchild=1&keywords=HP&qid=1616248538&s=pc&sr=1-10","","","$888.00","28 ratings","4 out of 5 
"
